序号,班级编号,班级名称,性别,身高_cm,体重_kg,BMI分数,体重分数,体重等级,肺活量_ml,肺活量分数,肺活量等级,50米跑_秒,50米跑分数,50米跑等级,坐位体前屈_cm,坐位体前屈分数,坐位体前屈等级,跳绳_个,跳绳分数,跳绳等级,跳绳附加分,标准分数,附加分,总分数,总分等级,性别_文字,BMI_计算
749,2019102,小学2019级2班,1,124,23,15.0,100,正常,815,62.0,及格,13.6,10.0,不及格,5.5,70.0,及格,48.0,68.0,及格,,60.9,0,60.9,及格,男,14.95837669094693
750,2016103,小学2016级3班,1,138,33,17.3,100,正常,1165,60.0,及格,11.9,20.0,不及格,8.0,76.0,及格,128.0,90.0,优秀,,70.2,0,70.2,及格,男,17.328292375551356
751,2017102,小学2017级2班,1,128,24,14.6,100,正常,1379,70.0,及格,11.0,64.0,及格,9.0,76.0,及格,72.0,70.0,及格,,73.9,0,73.9,及格,男,14.6484375
752,2017102,小学2017级2班,1,128,27,16.5,100,正常,1614,76.0,及格,10.6,68.0,及格,7.0,74.0,及格,50.0,64.0,及格,,74.2,0,74.2,及格,男,16.4794921875
753,2017102,小学2017级2班,1,125,22,14.1,100,正常,1689,78.0,及格,10.7,68.0,及格,4.0,68.0,及格,189.0,100.0,优秀,20.0,81.3,20,101.3,优秀,男,14.08
754,2017202,初中2017级2班,2,163,55,20.7,100,正常,2333,72.0,及格,8.8,78.0,及格,9.0,68.0,及格,,,,,80.0,0,80.0,良好,女,20.70081674131507
755,2018104,小学2018级4班,1,118,22,15.8,100,正常,589,10.0,不及格,10.1,78.0,及格,11.0,80.0,良好,93.0,78.0,及格,,71.7,0,71.7,及格,男,15.800057454754382
756,2016102,小学2016级2班,1,137,31,16.5,100,正常,1325,64.0,及格,10.1,70.0,及格,3.0,68.0,及格,87.0,72.0,及格,,75.1,0,75.1,及格,男,16.516596515530928
757,2019103,小学2019级3班,1,117,20,14.6,100,正常,1589,90.0,优秀,13.6,10.0,不及格,13.7,90.0,优秀,80.0,78.0,及格,,73.1,0,73.1,及格,男,14.610271020527433
758,2016102,小学2016级2班,2,136,29,15.7,100,正常,1658,80.0,良好,10.1,74.0,及格,16.0,85.0,良好,130.0,85.0,良好,,83.4,0,83.4,良好,女,15.679065743944633
759,2018202,初中2018级2班,1,161,42,16.2,100,正常,2995,76.0,及格,9.0,68.0,及格,18.0,95.0,优秀,,,,,79.0,0,79.0,及格,男,16.203078584931134
760,2016103,小学2016级3班,2,137,36,19.2,100,正常,1324,72.0,及格,10.4,70.0,及格,18.0,90.0,优秀,129.0,85.0,良好,,82.8,0,82.8,良好,女,19.18056369545527
761,2014102,小学2014级2班,2,156,42,17.3,100,正常,2229,85.0,良好,9.2,78.0,及格,11.2,76.0,及格,146.0,85.0,良好,,82.85,0,82.85,良好,女,17.258382642998026
762,2017102,小学2017级2班,2,127,24,14.9,100,正常,1628,90.0,优秀,10.3,76.0,及格,3.0,60.0,及格,24.0,10.0,不及格,,64.1,0,64.1,及格,女,14.88002976005952
763,2014102,小学2014级2班,2,143,41,20.0,100,正常,1338,62.0,及格,8.6,85.0,良好,6.7,68.0,及格,142.0,80.0,良好,,79.1,0,79.1,及格,女,20.049880189740332
764,2017202,初中2017级2班,1,162,42,16.0,100,正常,2669,66.0,及格,8.0,76.0,及格,12.0,76.0,及格,,,,,76.5,0,76.5,及格,男,16.00365797896662
765,2019202,初中2019级2班,2,160,47,18.4,100,正常,3975,100.0,优秀,9.6,72.0,及格,17.0,85.0,良好,,,,,81.9,0,81.9,良好,女,18.359374999999996
766,2019204,初中2019级4班,2,157,48,19.5,100,正常,2309,78.0,及格,8.3,90.0,优秀,19.0,90.0,优秀,,,,,92.7,2,94.7,优秀,女,19.473406629072173
767,2018105,小学2018级5班,2,131,28,16.3,100,正常,1660,100.0,优秀,12.8,60.0,及格,21.0,100.0,优秀,39.0,62.0,及格,,84.4,0,84.4,良好,女,16.31606549734864
768,2018102,小学2018级2班,1,129,37,22.2,60,肥胖,810,60.0,及格,10.6,74.0,及格,3.0,66.0,及格,73.0,72.0,及格,,67.0,0,67.0,及格,男,22.234240730725315
769,2018202,初中2018级2班,2,161,63,24.3,80,超重,2083,70.0,及格,9.6,72.0,及格,23.0,100.0,优秀,,,,,73.9,0,73.9,及格,女,24.3046178773967
770,2018106,小学2018级6班,2,125,28,17.9,80,超重,601,10.0,不及格,10.8,80.0,良好,5.0,64.0,及格,65.0,70.0,及格,,62.7,0,62.7,及格,女,17.92
771,2018201,初中2018级1班,2,160,53,20.7,100,正常,2749,85.0,良好,9.0,78.0,及格,17.0,80.0,良好,,,,,84.55,0,84.55,良好,女,20.703124999999996
772,2017202,初中2017级2班,1,172,75,25.4,80,超重,4175,95.0,优秀,7.6,85.0,良好,14.0,80.0,良好,,,,,76.85,0,76.85,及格,男,25.351541373715524
773,2014103,小学2014级3班,2,157,52,21.1,80,超重,1021,,,9.0,80.0,良好,7.3,68.0,及格,89.0,66.0,及格,,64.2,0,64.2,及格,女,21.096190514828187
774,2017102,小学2017级2班,1,135,30,16.5,100,正常,1709,80.0,良好,9.4,85.0,良好,5.5,70.0,及格,129.0,100.0,优秀,1.0,85.4,1,86.4,良好,男,16.46090534979424
775,2015104,小学2015级4班,1,140,28,14.3,80,低体重,2110,78.0,及格,8.5,95.0,优秀,0.8,64.0,及格,191.0,100.0,优秀,20.0,86.6,20,106.6,优秀,男,14.285714285714288
776,2019201,初中2019级1班,1,147,31,14.3,80,低体重,2985,80.0,良好,7.7,100.0,优秀,12.0,80.0,良好,,,,,79.8,0,79.8,及格,男,14.345874404183443
777,2014101,小学2014级1班,2,148,41,18.7,100,正常,1617,68.0,及格,8.7,85.0,良好,14.6,80.0,良好,88.0,66.0,及格,,81.4,0,81.4,良好,女,18.718042366691016
778,2019203,初中2019级3班,2,148,40,18.3,100,正常,2624,90.0,优秀,8.8,80.0,良好,7.0,66.0,及格,,,,,83.7,0,83.7,良好,女,18.261504747991236
779,2019103,小学2019级3班,1,120,20,13.9,100,正常,592,30.0,不及格,11.8,68.0,及格,7.6,72.0,及格,35.0,64.0,及格,,67.5,0,67.5,及格,男,13.88888888888889
780,2014101,小学2014级1班,1,140,26,13.3,80,低体重,1806,66.0,及格,8.6,80.0,良好,14.0,90.0,优秀,101.0,70.0,及格,,78.3,0,78.3,及格,男,13.265306122448981
781,2018104,小学2018级4班,2,135,35,19.2,80,超重,609,10.0,不及格,12.1,66.0,及格,10.0,74.0,及格,84.0,76.0,及格,,64.1,0,64.1,及格,女,19.204389574759944
782,2014102,小学2014级2班,1,138,30,15.8,100,正常,1233,30.0,不及格,8.9,76.0,及格,16.0,95.0,优秀,104.0,70.0,及格,,73.8,0,73.8,及格,男,15.752993068683052
783,2019204,初中2019级4班,1,148,38,17.3,100,正常,2816,78.0,及格,8.3,78.0,及格,6.0,72.0,及格,,,,,74.9,0,74.9,及格,男,17.348429510591675
784,2015103,小学2015级3班,1,144,36,17.4,100,正常,2609,85.0,良好,10.2,66.0,及格,9.0,78.0,及格,140.0,90.0,优秀,,78.95,0,78.95,及格,男,17.36111111111111
785,2017102,小学2017级2班,2,124,23,15.0,100,正常,1838,100.0,优秀,11.5,64.0,及格,12.3,78.0,及格,98.0,76.0,及格,,81.4,0,81.4,良好,女,14.95837669094693
786,2017102,小学2017级2班,2,139,37,19.2,80,超重,844,60.0,及格,9.4,90.0,优秀,9.2,72.0,及格,67.0,68.0,及格,,76.0,0,76.0,及格,女,19.15014750789297
787,2015106,小学2015级6班,2,154,42,17.7,100,正常,2044,85.0,良好,8.5,90.0,优秀,6.0,66.0,及格,65.0,62.0,及格,,79.35,0,79.35,及格,女,17.70956316410862
788,2019201,初中2019级1班,2,161,55,21.2,100,正常,3285,100.0,优秀,7.9,100.0,优秀,18.5,90.0,优秀,,,,,98.5,1,99.5,优秀,女,21.218317194552675
789,2018103,小学2018级3班,1,122,24,16.1,100,正常,1530,80.0,良好,11.5,64.0,及格,6.0,70.0,及格,82.0,76.0,及格,,76.0,0,76.0,及格,男,16.12469766191884
790,2019102,小学2019级2班,2,121,27,18.4,80,超重,815,70.0,及格,13.5,62.0,及格,8.5,70.0,及格,36.0,64.0,及格,,68.7,0,68.7,及格,女,18.44136329485691
791,2015103,小学2015级3班,2,134,24,13.4,80,低体重,2864,100.0,优秀,11.1,60.0,及格,12.0,78.0,及格,140.0,85.0,良好,,75.5,0,75.5,及格,女,13.36600579193584
792,2018101,小学2018级1班,2,129,26,15.6,100,正常,1713,100.0,优秀,10.2,90.0,优秀,14.0,80.0,良好,109.0,85.0,良好,,89.0,0,89.0,良好,女,15.624061054023194
793,2015102,小学2015级2班,1,157,44,17.9,100,正常,2513,85.0,良好,8.7,85.0,良好,8.0,76.0,及格,60.0,60.0,及格,,81.55,0,81.55,良好,男,17.85062274331616
794,2017201,初中2017级1班,2,162,59,22.5,100,正常,2043,66.0,及格,9.1,76.0,及格,20.0,85.0,良好,,,,,80.6,0,80.6,良好,女,22.481329065691202
795,2015105,小学2015级5班,2,137,29,15.5,100,正常,1310,66.0,及格,9.1,80.0,良好,9.4,72.0,及格,154.0,95.0,优秀,,86.1,0,86.1,良好,女,15.45100964356119
796,2019101,小学2019级1班,2,117,19,13.9,100,正常,1648,100.0,优秀,11.1,95.0,优秀,9.5,72.0,及格,99.0,85.0,良好,,87.6,0,87.6,良好,女,13.879757469501062
797,2015101,小学2015级1班,2,144,37,17.8,100,正常,1230,64.0,及格,8.9,80.0,良好,14.0,80.0,良好,151.0,95.0,优秀,,80.1,0,80.1,良好,女,17.843364197530864
798,2015101,小学2015级1班,2,148,51,23.3,60,肥胖,1732,76.0,及格,9.0,80.0,良好,5.6,66.0,及格,130.0,80.0,良好,,78.4,0,78.4,及格,女,23.283418553688826
799,2016104,小学2016级4班,1,127,24,14.9,100,正常,1239,62.0,及格,8.4,100.0,优秀,3.0,68.0,及格,40.0,40.0,不及格,,73.9,0,73.9,及格,男,14.88002976005952
800,2017102,小学2017级2班,2,136,29,15.7,100,正常,1079,68.0,及格,11.6,64.0,及格,11.7,76.0,及格,78.0,70.0,及格,,74.2,0,74.2,及格,女,15.679065743944633
801,2017102,小学2017级2班,2,134,26,14.5,100,正常,982,66.0,及格,10.6,74.0,及格,12.0,76.0,及格,89.0,74.0,及格,,76.3,0,76.3,及格,女,14.479839607930494
802,2017201,初中2017级1班,1,160,76,29.7,60,肥胖,3781,85.0,良好,9.3,64.0,及格,14.0,80.0,良好,,,,,68.75,0,68.75,及格,男,29.687499999999993
803,2018201,初中2018级1班,2,156,56,23.0,80,超重,1217,,,10.3,64.0,及格,17.0,80.0,良好,,,,,63.8,0,63.8,及格,女,23.011176857330703
804,2014103,小学2014级3班,1,128,23,14.0,80,低体重,2210,74.0,及格,8.8,78.0,及格,8.9,78.0,及格,68.0,60.0,及格,,75.1,0,75.1,及格,男,14.0380859375
805,2019106,小学2019级6班,2,121,22,15.0,100,正常,823,70.0,及格,12.0,78.0,及格,6.0,66.0,及格,40.0,66.0,及格,,74.1,0,74.1,及格,女,15.026296018031555
806,2019101,小学2019级1班,1,129,28,16.8,100,正常,1456,85.0,良好,11.3,72.0,及格,10.0,78.0,及格,24.0,62.0,及格,,77.95,0,77.95,及格,男,16.82591190433267
807,2017102,小学2017级2班,2,122,22,14.8,100,正常,1587,85.0,良好,10.5,74.0,及格,9.0,72.0,及格,84.0,72.0,及格,,78.95,0,78.95,及格,女,14.780972856758936
808,2018103,小学2018级3班,1,125,25,16.0,100,正常,740,40.0,不及格,10.2,78.0,及格,5.0,68.0,及格,76.0,74.0,及格,,71.8,0,71.8,及格,男,16.0
809,2017102,小学2017级2班,1,129,29,17.4,100,正常,1675,78.0,及格,11.0,64.0,及格,1.0,62.0,及格,27.0,30.0,不及格,,63.9,0,63.9,及格,男,17.42683732948741
810,2018202,初中2018级2班,1,158,42,16.8,100,正常,2476,66.0,及格,8.6,72.0,及格,10.0,76.0,及格,,,,,71.1,0,71.1,及格,男,16.82422688671687
811,2015105,小学2015级5班,1,137,32,17.0,100,正常,1986,74.0,及格,9.7,70.0,及格,3.2,68.0,及格,68.0,62.0,及格,,78.7,0,78.7,及格,男,17.049389951515796
812,2017102,小学2017级2班,1,131,26,15.2,100,正常,1810,80.0,良好,9.2,95.0,优秀,4.0,68.0,及格,86.0,74.0,及格,,84.4,0,84.4,良好,男,15.15063224753802
813,2018204,初中2018级4班,2,155,45,18.7,100,正常,2056,70.0,及格,9.0,78.0,及格,23.0,100.0,优秀,,,,,85.2,0,85.2,良好,女,18.730489073881373
814,2019106,小学2019级6班,2,121,23,15.7,100,正常,1632,100.0,优秀,11.4,85.0,良好,9.5,72.0,及格,60.0,72.0,及格,,83.0,0,83.0,良好,女,15.709309473396626
815,2019202,初中2019级2班,2,154,39,16.4,100,正常,1821,68.0,及格,8.5,85.0,良好,8.0,68.0,及格,,,,,83.6,0,83.6,良好,女,16.444594366672288
816,2019104,小学2019级4班,1,122,22,14.8,100,正常,600,30.0,不及格,12.5,60.0,及格,6.0,70.0,及格,28.0,62.0,及格,,64.9,0,64.9,及格,男,14.780972856758936
817,2018203,初中2018级3班,1,171,73,25.0,80,超重,4275,100.0,优秀,8.3,76.0,及格,2.0,64.0,及格,,,,,74.4,0,74.4,及格,男,24.96494647925858
818,2018106,小学2018级6班,1,130,30,17.8,100,正常,1421,76.0,及格,11.1,68.0,及格,6.0,70.0,及格,85.0,76.0,及格,,76.2,0,76.2,及格,男,17.751479289940825
819,2018104,小学2018级4班,1,131,24,14.0,100,正常,1628,80.0,良好,11.1,68.0,及格,13.0,85.0,良好,76.0,74.0,及格,,80.9,0,80.9,良好,男,13.985198997727403
820,2018204,初中2018级4班,1,173,58,19.4,100,正常,4315,100.0,优秀,7.4,100.0,优秀,-3.0,40.0,不及格,,,,,80.4,0,80.4,良好,男,19.37919743392696
821,2019101,小学2019级1班,2,115,28,21.2,60,肥胖,758,66.0,及格,12.2,76.0,及格,13.3,78.0,及格,39.0,66.0,及格,,70.7,0,70.7,及格,女,21.172022684310022
822,2019103,小学2019级3班,2,113,18,14.1,100,正常,670,62.0,及格,12.1,76.0,及格,8.2,70.0,及格,30.0,62.0,及格,,72.9,0,72.9,及格,女,14.09664030072833
823,2019204,初中2019级4班,2,162,48,18.3,100,正常,3116,100.0,优秀,8.3,90.0,优秀,18.6,90.0,优秀,,,,,95.0,2,97.0,优秀,女,18.289894833104707
824,2014103,小学2014级3班,1,131,27,15.7,100,正常,1342,40.0,不及格,8.8,78.0,及格,1.8,68.0,及格,69.0,60.0,及格,,70.6,0,70.6,及格,男,15.73334887244333
825,2017102,小学2017级2班,2,135,25,13.7,100,正常,1205,72.0,及格,10.2,78.0,及格,7.0,68.0,及格,40.0,60.0,及格,,73.2,0,73.2,及格,女,13.717421124828531
826,2019204,初中2019级4班,2,148,38,17.3,100,正常,2316,78.0,及格,8.3,90.0,优秀,18.8,90.0,优秀,,,,,91.7,1,92.7,优秀,女,17.348429510591675
827,2019102,小学2019级2班,2,116,21,15.6,100,正常,620,60.0,及格,11.7,80.0,良好,13.0,78.0,及格,64.0,72.0,及格,,77.8,0,77.8,及格,女,15.606420927467301
828,2017202,初中2017级2班,2,155,49,20.4,100,正常,2785,80.0,良好,9.1,76.0,及格,16.3,78.0,及格,,,,,79.3,0,79.3,及格,女,20.39542143600416
829,2019106,小学2019级6班,2,123,21,13.9,100,正常,1660,100.0,优秀,12.3,74.0,及格,12.0,76.0,及格,70.0,74.0,及格,,82.4,0,82.4,良好,女,13.88062661114416
830,2018102,小学2018级2班,2,125,24,15.4,100,正常,1236,80.0,良好,10.2,90.0,优秀,6.0,66.0,及格,48.0,66.0,及格,,78.0,0,78.0,及格,女,15.36
831,2017102,小学2017级2班,2,127,32,19.8,80,超重,1696,90.0,优秀,9.4,90.0,优秀,11.0,76.0,及格,104.0,78.0,及格,,81.3,0,81.3,良好,女,19.84003968007936
832,2018105,小学2018级5班,1,130,26,15.4,100,正常,615,20.0,不及格,9.8,90.0,优秀,13.0,85.0,良好,80.0,74.0,及格,,76.3,0,76.3,及格,男,15.384615384615383
833,2018105,小学2018级5班,2,126,24,15.1,100,正常,1254,80.0,良好,11.0,78.0,及格,25.0,100.0,优秀,189.0,100.0,优秀,20.0,92.6,20,112.6,优秀,女,15.11715797430083
834,2019101,小学2019级1班,2,121,22,15.0,100,正常,698,64.0,及格,10.2,100.0,优秀,12.0,76.0,及格,20.0,60.0,及格,,79.4,0,79.4,及格,女,15.026296018031555
835,2016103,小学2016级3班,2,136,32,17.3,100,正常,1139,66.0,及格,10.8,66.0,及格,20.0,100.0,优秀,120.0,80.0,良好,,82.1,0,82.1,良好,女,17.301038062283734
836,2016103,小学2016级3班,2,139,35,18.1,100,正常,1176,66.0,及格,11.2,62.0,及格,21.0,100.0,优秀,150.0,100.0,优秀,,85.8,0,85.8,良好,女,18.115004399358213
837,2019203,初中2019级3班,1,155,52,21.6,100,正常,3430,90.0,优秀,10.1,60.0,及格,15.0,90.0,优秀,,,,,86.0,0,86.0,良好,男,21.64412070759625
838,2019106,小学2019级6班,2,118,21,15.1,100,正常,1612,100.0,优秀,12.5,72.0,及格,11.0,74.0,及格,85.0,78.0,及格,,82.2,0,82.2,良好,女,15.08187302499282
839,2015102,小学2015级2班,1,145,38,18.1,100,正常,1015,20.0,不及格,9.6,72.0,及格,5.0,72.0,及格,64.0,62.0,及格,,67.0,0,67.0,及格,男,18.07372175980975
840,2017102,小学2017级2班,1,137,28,14.9,100,正常,2045,85.0,良好,9.3,90.0,优秀,8.0,76.0,及格,91.0,76.0,及格,,83.55,0,83.55,良好,男,14.918216207576322
841,2017102,小学2017级2班,2,125,23,14.7,100,正常,1648,90.0,优秀,10.4,76.0,及格,6.0,66.0,及格,54.0,64.0,及格,,76.5,0,76.5,及格,女,14.72
842,2019104,小学2019级4班,2,118,20,14.4,100,正常,595,50.0,不及格,12.8,70.0,及格,8.5,70.0,及格,100.0,85.0,良好,,74.5,0,74.5,及格,女,14.363688595231256
843,2019201,初中2019级1班,2,153,40,17.1,100,正常,3305,100.0,优秀,8.3,90.0,优秀,18.5,90.0,优秀,,,,,95.0,1,96.0,优秀,女,17.087444999786406
844,2016101,小学2016级1班,1,135,24,13.2,80,低体重,1680,74.0,及格,11.1,60.0,及格,9.0,78.0,及格,86.0,70.0,及格,,73.7,0,73.7,及格,男,13.16872427983539
845,2018201,初中2018级1班,1,156,44,18.1,100,正常,3222,80.0,良好,8.3,76.0,及格,10.0,76.0,及格,,,,,77.2,0,77.2,及格,男,18.080210387902692
846,2015101,小学2015级1班,1,132,25,14.3,80,低体重,2082,76.0,及格,8.9,78.0,及格,7.1,76.0,及格,84.0,68.0,及格,,76.0,0,76.0,及格,男,14.348025711662073
847,2019204,初中2019级4班,1,164,48,17.8,100,正常,4298,100.0,优秀,7.7,100.0,优秀,15.0,90.0,优秀,,,,,96.0,0,96.0,优秀,男,17.846519928613922
848,2018201,初中2018级1班,1,161,39,15.0,80,低体重,2158,62.0,及格,9.8,60.0,及格,,62.0,及格,,,,,63.3,0,63.3,及格,男,15.045715828864626
849,2018201,初中2018级1班,1,176,69,22.3,100,正常,3844,95.0,优秀,8.4,74.0,及格,12.0,80.0,良好,,,,,72.05,0,72.05,及格,男,22.275309917355372
850,2018103,小学2018级3班,1,124,21,13.7,100,正常,1843,90.0,优秀,11.2,68.0,及格,5.0,68.0,及格,43.0,64.0,及格,,75.3,0,75.3,及格,男,13.657648283038501
851,2017203,初中2017级3班,1,163,47,17.7,100,正常,3103,72.0,及格,7.1,100.0,优秀,13.0,78.0,及格,,,,,84.2,0,84.2,良好,男,17.68978885166924
852,2017203,初中2017级3班,2,162,49,18.7,100,正常,1732,60.0,及格,10.5,62.0,及格,7.0,64.0,及格,,,,,76.1,0,76.1,及格,女,18.670934308794386
853,2014102,小学2014级2班,1,138,33,17.3,100,正常,2409,78.0,及格,9.0,76.0,及格,8.2,78.0,及格,116.0,74.0,及格,,83.7,0,83.7,良好,男,17.328292375551356
854,2019106,小学2019级6班,2,115,21,15.9,100,正常,710,64.0,及格,11.2,90.0,优秀,9.0,72.0,及格,68.0,74.0,及格,,79.0,0,79.0,及格,女,15.879017013232517
855,2019204,初中2019级4班,1,153,56,23.9,80,超重,2688,76.0,及格,8.0,90.0,优秀,14.6,90.0,优秀,,,,,87.4,0,87.4,良好,男,23.92242299970097
856,2017102,小学2017级2班,2,131,29,16.9,100,正常,1714,95.0,优秀,10.6,74.0,及格,13.5,80.0,良好,63.0,66.0,及格,,80.65,0,80.65,良好,女,16.898782122253944
857,2016106,小学2016级6班,2,133,30,17.0,100,正常,1105,64.0,及格,8.7,100.0,优秀,13.0,78.0,及格,120.0,80.0,良好,,85.7,0,85.7,良好,女,16.959692464243314
858,2017204,初中2017级4班,1,178,60,18.9,100,正常,3500,80.0,良好,7.1,100.0,优秀,13.0,78.0,及格,,,,,82.5,0,82.5,良好,男,18.93700290367378
859,2015101,小学2015级1班,2,140,32,16.3,100,正常,1847,78.0,及格,8.8,85.0,良好,9.3,72.0,及格,97.0,70.0,及格,,85.5,0,85.5,良好,女,16.326530612244902
860,2017204,初中2017级4班,2,161,44,17.0,100,正常,2467,76.0,及格,9.6,70.0,及格,8.0,66.0,及格,,,,,76.2,0,76.2,及格,女,16.97465375564214
861,2017102,小学2017级2班,1,127,22,13.6,80,低体重,1752,80.0,良好,8.8,100.0,优秀,4.2,68.0,及格,87.0,74.0,及格,,82.4,0,82.4,良好,男,13.64002728005456
862,2019105,小学2019级5班,1,122,28,18.8,80,超重,951,68.0,及格,11.3,72.0,及格,2.0,62.0,及格,66.0,74.0,及格,,70.0,0,70.0,及格,男,18.812147272238647
863,2019202,初中2019级2班,1,152,39,16.9,100,正常,3119,80.0,良好,8.1,85.0,良好,8.5,76.0,及格,,,,,81.3,0,81.3,良好,男,16.880193905817176
864,2019204,初中2019级4班,2,158,51,20.4,100,正常,2620,90.0,优秀,9.6,72.0,及格,6.0,66.0,及格,,,,,79.6,0,79.6,及格,女,20.429418362441915
865,2018104,小学2018级4班,1,124,26,16.9,100,正常,1453,78.0,及格,10.4,76.0,及格,12.0,85.0,良好,54.0,68.0,及格,,81.0,0,81.0,良好,男,16.909469302809573
866,2018101,小学2018级1班,1,128,23,14.0,100,正常,1651,85.0,良好,11.3,66.0,及格,6.0,70.0,及格,59.0,68.0,及格,,75.55,0,75.55,及格,男,14.0380859375
867,2017102,小学2017级2班,2,130,26,15.4,100,正常,1855,100.0,优秀,11.8,62.0,及格,17.0,90.0,优秀,75.0,70.0,及格,,80.8,0,80.8,良好,女,15.384615384615383
868,2014103,小学2014级3班,1,149,38,17.1,100,正常,2106,72.0,及格,8.7,78.0,及格,1.2,68.0,及格,145.0,85.0,良好,,76.7,0,76.7,及格,男,17.116346110535563
869,2017102,小学2017级2班,1,125,27,17.3,100,正常,1657,78.0,及格,10.4,70.0,及格,8.0,76.0,及格,21.0,10.0,不及格,,61.9,0,61.9,及格,男,17.28
870,2015103,小学2015级3班,1,153,45,19.2,100,正常,2496,85.0,良好,8.9,78.0,及格,9.0,78.0,及格,140.0,90.0,优秀,,82.95,0,82.95,良好,男,19.223375624759708
871,2019103,小学2019级3班,1,136,27,14.6,100,正常,758,60.0,及格,11.5,70.0,及格,2.0,62.0,及格,58.0,70.0,及格,,70.6,0,70.6,及格,男,14.5977508650519
872,2018106,小学2018级6班,2,115,19,14.4,100,正常,725,60.0,及格,11.5,72.0,及格,8.0,70.0,及格,62.0,70.0,及格,,73.4,0,73.4,及格,女,14.366729678638944
873,2016106,小学2016级6班,1,137,43,22.9,60,肥胖,2279,85.0,良好,9.9,72.0,及格,12.0,85.0,良好,85.0,70.0,及格,,75.65,0,75.65,及格,男,22.91011774734935
874,2018103,小学2018级3班,2,128,22,13.4,80,低体重,665,40.0,不及格,12.1,66.0,及格,-4.0,,不及格,61.0,68.0,及格,,44.8,0,44.8,不及格,女,13.427734375
875,2018202,初中2018级2班,1,172,59,19.9,100,正常,3524,85.0,良好,8.1,78.0,及格,11.0,78.0,及格,,,,,80.25,0,80.25,良好,男,19.94321254732288
876,2017102,小学2017级2班,1,124,26,16.9,100,正常,1716,80.0,良好,10.4,70.0,及格,7.0,74.0,及格,30.0,40.0,不及格,,68.8,0,68.8,及格,男,16.909469302809573
877,2018102,小学2018级2班,1,130,24,14.2,100,正常,1629,80.0,良好,10.7,72.0,及格,,60.0,及格,70.0,72.0,及格,,73.8,0,73.8,及格,男,14.20118343195266
878,2015102,小学2015级2班,1,160,73,28.5,60,肥胖,2557,85.0,良好,10.5,62.0,及格,,64.0,及格,60.0,60.0,及格,,59.75,0,59.75,不及格,男,28.515624999999993
879,2015105,小学2015级5班,1,145,48,22.8,80,超重,2239,80.0,良好,10.5,62.0,及格,1.0,66.0,及格,70.0,64.0,及格,,69.0,0,69.0,及格,男,22.829964328180736
880,2018204,初中2018级4班,2,160,62,24.2,80,超重,1674,62.0,及格,9.6,72.0,及格,16.0,80.0,良好,,,,,78.5,0,78.5,及格,女,24.218749999999996
881,2017202,初中2017级2班,2,150,42,18.7,100,正常,2922,85.0,良好,9.1,76.0,及格,13.7,74.0,及格,,,,,80.15,0,80.15,良好,女,18.666666666666668
882,2016101,小学2016级1班,2,140,34,17.3,100,正常,1174,66.0,及格,8.5,100.0,优秀,8.0,70.0,及格,78.0,68.0,及格,,80.3,0,80.3,良好,女,17.346938775510207
883,2019102,小学2019级2班,1,125,25,16.0,100,正常,1710,100.0,优秀,12.4,62.0,及格,14.5,90.0,优秀,71.0,74.0,及格,,84.2,0,84.2,良好,男,16.0
884,2019104,小学2019级4班,2,116,21,15.6,100,正常,1037,80.0,良好,12.9,68.0,及格,6.0,66.0,及格,29.0,62.0,及格,,72.8,0,72.8,及格,女,15.606420927467301
885,2018105,小学2018级5班,2,123,23,15.2,100,正常,1658,100.0,优秀,9.5,100.0,优秀,17.0,90.0,优秀,60.0,68.0,及格,,90.6,0,90.6,优秀,女,15.202591050300748
886,2014103,小学2014级3班,2,150,49,21.8,80,超重,1873,74.0,及格,8.9,80.0,良好,14.5,80.0,良好,88.0,66.0,及格,,74.3,0,74.3,及格,女,21.77777777777778
887,2016102,小学2016级2班,2,141,35,17.6,100,正常,1698,80.0,良好,8.5,100.0,优秀,16.0,85.0,良好,115.0,78.0,及格,,85.8,0,85.8,良好,女,17.6047482521
888,2014101,小学2014级1班,1,141,46,23.1,80,超重,2627,80.0,良好,8.9,76.0,及格,10.7,80.0,良好,113.0,72.0,及格,,74.4,0,74.4,及格,男,23.137669131331425
889,2015102,小学2015级2班,1,132,42,24.1,80,超重,1968,74.0,及格,10.2,66.0,及格,5.0,72.0,及格,75.0,64.0,及格,,69.5,0,69.5,及格,男,24.104683195592283
890,2018102,小学2018级2班,1,128,24,14.6,100,正常,1665,85.0,良好,9.8,90.0,优秀,9.0,76.0,及格,81.0,76.0,及格,,83.75,0,83.75,良好,男,14.6484375
891,2019102,小学2019级2班,2,119,24,16.9,100,正常,680,64.0,及格,13.1,66.0,及格,11.1,74.0,及格,82.0,78.0,及格,,75.6,0,75.6,及格,女,16.947955652849377
892,2017102,小学2017级2班,1,136,28,15.1,100,正常,1080,64.0,及格,10.6,68.0,及格,5.0,70.0,及格,59.0,66.0,及格,,72.4,0,72.4,及格,男,15.138408304498267
893,2017202,初中2017级2班,2,155,50,20.8,100,正常,2473,76.0,及格,9.1,76.0,及格,12.7,72.0,及格,,,,,79.0,0,79.0,及格,女,20.811654526534856
894,2019201,初中2019级1班,1,159,43,17.0,100,正常,2894,78.0,及格,7.9,95.0,优秀,8.5,76.0,及格,,,,,79.3,0,79.3,及格,男,17.008820853605474
